Question,Answer
what is the largest religious group in canada?,"according to 2001 census, 771% of canadians identified as being christians; of this, catholics make up the largest group (436% of canadians) the largest protestant denomination is the united church of canada; about 165% of canadians declare no religious affiliation, and the remaining 63% were affiliated with religions other than christianity, of which the largest is islam numbering 19%, followed by judaism: 11% "
what is the largest religious group in canada?,christian
when did canada have one of the largest armed forces in the world?,1944
when did canada have one of the largest armed forces in the world?,world war ii
what have been inhabited for millennia by aboriginal peoples?,the lands
european books and maps began referring to this region as canada in what year?,1545
what was canadas most important industry until the 1800s?,the fur trade
is it true that it angered many residents of the thirteen colonies?,yes
how do cuba and declining participation relate?,canada maintains full relations with both
is it true that provinces have a large degree of autonomy?,yes
what did canada adopt in 1965?,the maple leaf flag
what arrived in britain?,the first canadian army units in ww ii
are canada s two official languages english and french ?,yes
are canada s official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes
is canada a geographically vast and ethnically diverse country ?,yes
did mainland nova scotia not come under british rule with the treaty of utrecht    (: ; ?,no!
"did cartier not use the word ` canada  to refer to not only that village , but the entire area subject to donnacona , chief at stadacona ?",yes
did continental european immigrants not settle the prairies ?,no
is it the world s second largest country by total area?,yes
what happened in 1867?,"canada was formed as a federal, semi-autonomous polity"
are ducks in the arctic northern hemisphere migratory?,some are
are ducks in the arctic northern hemisphere migratory?,yes
what is the name of a specialized species of duck adapted to catch large fish?,the smew
what is an economic use of a duck?,meat
what is an economic use of a duck?,being farmed for their meat
what are the reasons for hunting wild ducks?,"meat, eggs, and feathers"
do ducks forage underwater?,yes
do ducks forage underwater?,diving ducks and sea ducks forage underwater
what economic uses to ducks have?,"they are farmed for their meat, eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos"
what economic uses to ducks have?,"they can be farmed for meat, eggs, and feathers"
what kind of ducks feed on land?,dabbling ducks
what kind of ducks feed on land?,dabbling ducks feed on land
what does the word duck mean?,it is the common name for a number of species in the anatidae family of birds
what does the word duck mean?,to bend down low as if to get under something
what are some common predators of ducks?,"pike, crocodilians, herons, hawks and eagles"
what are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters"
how does a mallards tongue work?,"its tongue is a flat plate, and on the tongues back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat"
how does a mallards tongue work?,it uses short spikes to push struggling prey and other food down its throat
why are ducklings particularly vulnerable?,their inability to fly
why are ducklings particularly vulnerable?,their inability to fly makes them easy prey
what are some economic uses for duck?,"meat,eggs,feathers"
what are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)"
what allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae
what allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whales baleen
"where did the expression ""a sitting duck"" come from?","in many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys"
"where did the expression ""a sitting duck"" come from?","in many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys"
what religions has egypt outlawed?,"all but christianity, islam, and judaism"
what religions has egypt outlawed?,"all religions and belief except islam, christianity and judaism"
what is the poulation of egypt?,more than 78 million
what is the poulation of egypt?,78 million people
why does most of egypts population live near the nile?,"the only arable agricultural land is found there,"
why does most of egypts population live near the nile?,the only arable agricultural land is found there
during what period was akhenaten a pharaoh?,the new kingdom (c1550&#8722;1070 bc) 
during what period was akhenaten a pharaoh?,the new kingdom
is egypt in asia?,no
what is the estimated population of egypt?,more than 78 million
what is the estimated population of egypt?,78 million
when did organized agriculture appear in the nile valley?,6000 bc
when did organized agriculture appear in the nile valley?,about 6000 bc
how many living species of african elephants are there?,2
how many living species of african elephants are there?,"the african elephant genus contains two (or, arguably, three) living species"
how long may elephants live?,70 years
how long may elephants live?,"as long as 70 years, sometimes longer"
why does the phrase elephants never forget have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory
why does the phrase elephants never forget have no metaphorical meaning?,because it refers literally to elephants supposedly having an excellent memory
how many living species of asian elephants are there?,1
how many living species of asian elephants are there?,one
how much do elephants weight at birth?,120 kilograms
how much do elephants weight at birth?,at birth it is common for an elephant calf to weigh 120 kilograms (265 lb)
what did aristotle say about elephants?,the beast which passeth all others in wit and mind
what did aristotle say about elephants?,"aristotle once said the elephant was ""the beast which passeth all others in wit and mind"""
is the asian elephant larger than the african?,no
is the asian elephant larger than the african?,sometimes
how do elephants communicate over long distances?,by producing and receiving low frequency sound
how do elephants communicate over long distances?,by producing and receiving low-frequency sound (infrasound)
when do african elephants lie down?,when they are sick or wounded
what land animal has the largest brain?,elephant
what land animal has the largest brain?,the elephant
what is the world population of asian elephants?,60000
what is the world population of asian elephants?,"the world population of asian elephants – also called indian elephants or elephas maximus – is estimated to be around 60,000"
what part of an elephant is very important for temperature regulation?,ears
what part of an elephant is very important for temperature regulation?,the large flapping ears of an elephant are also very important for temperature regulation
where was the largest elephant ever recorded shot?,angola
where was the largest elephant ever recorded shot?,the largest elephant ever recorded was shot in angola in 1956
what land animal is larger than an elephant?,none
what land animal is larger than an elephant?,"none, the elephant is the largest land animal"
has tusklessness become a rare abnormality?,no
has tusklessness become a rare abnormality?,"no, tusklessness has become a widespread hereditary trait "
what body of water lies to the south of finland?,the gulf of finland
what body of water lies to the south of finland?,archipelago sea
name an animal that is growing in number due to recent conservation efforts,"golden eagle, brown bear, or eurasian lynx (change imperative to interrogative)"
name an animal that is growing in number due to recent conservation efforts,golden eagle
what is the biggest city in finland?,greater helsinki
what is the biggest city in finland?,the cities of the greater helsinki metropolitan area
what is finlands economy like?,"a highly industrialised, free-market economy"
when did the first verifiable written documents appear?,twelfth century
when did the first verifiable written documents appear?, the first verifiable written documents appeared in the twelfth century 
what is the capital city?,helsinki
what is the capital city?,the capital city is helsinki 
what is the most extensively celebrated holiday?,christmas
what is the most extensively celebrated holiday?,christmas is the most extensively celebrated holiday
does a large proportion of the population speak swedish as its mother tongue?,no
what is a country with which finland is involved in an international conflict?,none
what is a country with which finland is involved in an international conflict?,finland is not involved in international conflicts or border disputes 
for how long was ford a member of the house of representatives?,over eight years
for how long was ford a member of the house of representatives?,ford served for over eight years as the republican minority leader of the united states house of representatives
"did ford get an award called ""congressmans congressman""?",yes
"did ford get an award called ""congressmans congressman""?",no
what positions ford played in the school football team?,center and linebacker
what positions ford played in the school football team?,captain
what did ford say about his biological father?,he was abusive and had a history of hitting his mother
what did ford say about his biological father?,his biological father was abusive and had a history of hitting his mother
who did ford nominate for vice president?,bob dole
who did ford nominate for vice president?,nelson rockefeller
was ford active about vietnamese affairs?,no
hard,hard
was ford active about vietnamese affairs?,yes
had fords wife married before?,yes
had fords wife married before?,no
is ford related with the assassination of john f kennedy?,yes
how many eagle scouts were involved in fords funeral procession?,400
how many eagle scouts were involved in fords funeral procession?,about 400
how do kwajalein and eniwetok relate?,the monterey supported landings at both locations
"what did ford receive on april 13, 1942?",ford received a commission as ensign in the us naval reserve
was ford released from the hospital?,yes
"was ford interred at his presidential museum in grand rapids, michigan?",yes
is ford one of only four former presidents to live to 90 or more years of age ?,yes
was ford the last surviving member of the warren commission ?,yes
"did grand rapids supporters not urge him to take on bartel j jonkman , the incumbent republican congressman ?",no
did they not claim ford s pardon was quid pro quo in exchange for nixon s resignation ?,they did claim fords pardon was quid pro quo
who is the head of state of ghana?,president john agyekum kofuor
who is the head of state of ghana?,john agyekum kufuor
who was kwame nkrumah?,founder and first president
who was kwame nkrumah?,founder and first president of the modern ghanaian state
where is old ghana in relation to present ghana?,500 miles north
where is old ghana in relation to present ghana?,"500 miles north of the present ghana, and occupied the area between rivers senegal and niger"
what european countries established states in ghana?,the uk
what european countries established states in ghana?,"portugual, france, britain, netherlands"
do wolf pups tend to have darker fur than adults?,yes
do wolf pups tend to have darker fur than adults?,"yes, they do tend to have darker furs"
do wolves leave their pack?,yes
do wolves leave their pack?,they leave their birth pack when they reach sexual maturity
what kinds of coats do wolves have?,bulky coats with two layers
what kinds of coats do wolves have?,"tough guard hairs that repel water and dirt, and a dense, water-resistant layer"
where do wolves have scent glands?,helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts
where do wolves have scent glands?,between a wolfs toes
how much do wolves weigh?,typically varies between 32 and 62 kilograms
how much do wolves weigh?,between 32 and 68 kilograms 
why do wolves howl?,"howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances howling also helps to call pack members to a specific location howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own "
why do wolves howl?,"to pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances"
what is surplus killing?,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting
what is surplus killing?,the killing of several prey animals too numerous to eat at one sitting
are gray wolves native to north america?,yes
are gray wolves native to north america?,no current theory suggests that its from eurasia
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,a pack can only suppport one littler per year
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,the pack tension rises as each mature wolf feels urged to mate
where was grover cleveland married?,in the white house
where was grover cleveland married?,in the blue room in the white house
how many years after cleveland left office did the us win the spanish-american war?,one year
how many years after cleveland left office did the us win the spanish-american war?,one
what did clevelands opponents say in 1884 to counter his innocent image?,that he had fathered an illegitimate child
what did clevelands opponents say in 1884 to counter his innocent image?,that he had fathered an illegitimate child while he was a lawyer in buffalo
who did cleveland run against in 1884?,former senator james g blaine of maine
who did cleveland run against in 1884?,james g blaine
why did cleveland want to hide his cancer surgery from the public?,to avoid further market panic
why did cleveland want to hide his cancer surgery from the public?,because of the financial depression of the country
"when was he elected sheriff of erire county, new york?",yes
"when was he elected sheriff of erire county, new york?",1870
when did he die?,june 24 1908
when did he die?,1908 
which election did grover cleveland win?,1884 and 1892 presidential elections
who were grover clevelands parents?,"cleveland was born in caldwell, new jersey to the reverend richard cleveland and anne neal"
who were grover clevelands parents?,reverend richard cleveland and anne neal
how many children did grover cleveland have?,5
how many children did grover cleveland have?,six
who lost control of his party to the agrarians and silverites in 1896?,grover cleveland
is it true that he sent in federal troops to chicago?,yes
"was cleveland born in caldwell, new jersey to the reverend richard cleveland and anne neal?",yes
"was grover cleveland elected sheriff of erie county, new york?",yes
was cleveland s portrait on the us $ 1000 bill from 1928 to 1946 ?,yes
is he buried in the princeton cemetery of the nassau presbyterian church ?,yes
did the department of the interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes
"did the team , sedating cleveland with nitrous oxide -lrb- laughing gas -rrb- , not remove his upper left jaw and portions of his hard palate ?",yes
he became chief engineer in the department of bridges and highways in what year?,in 1894
what led becquerel to investigate the spontaneous emission of nuclear radiation?,phographic plates being fully exposed
is it true that he married louise désirée lorieux in 1890?,yes
is it true that he shared the nobel prize in physics?,yes
when did he marry louise désirée lorieux?,1890
was becquerel elected permanent secretary of the académie des sciences?,yes
"was becquerel born in paris into a family which, including he and his son jean, produced four generations of scientists?",yes
who won the 1903 nobel prize in physics for discovering radioactivity ?,henri becquerel
did he not die at the age of 55 in le croisic ?,yes he died at the age of 55
did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes
what happened in 1896?, becquerel accidentally discovered radioactivity
what happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day
is there a becquerel crater on the moon and a becquerel crater on mars?,yes
when did islam become the dominant religion in java and sumatra?,the end of the 16th century
when did islam become the dominant religion in java and sumatra?,by the end of the 16th century
why did indonesia break off relations with the peoples republic of china?,because of anti-communist purges early in the suharto era
why did indonesia break off relations with the peoples republic of china?,anti-communist purges early in the suharto era
which spice originally attracted europeans to indonesia?,"nutmeg, cloves, or cubeb pepper"
which spice originally attracted europeans to indonesia?,"nutmeg, cloves, and cubeb pepper"
what is jakarta?,indonesias special capital region
"what shares land borders with papua new guinea, east timor and malaysia?",indonesia
what are the largest and politically dominant ethnic group?,the javanese
what happens when the srivijaya kingdom formed trade links?,the indonesian archipelago became an important trade region
is it true that indonesia has vast areas of wilderness?,yes
are sports in indonesia generally male-orientated?,yes
is indonesia the worlds largest archipelagic state?,yes
are sports in indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?,yes
is pencak silat an indonesian martial art ?,yes
has indonesia the world s largest muslim population ?,yes
who has its own political legislature and governor ?,each province
is it the world s largest archipelagic state?,yes
is it the world s fourth most populous country and the most populous muslim-majority nation?,yes
what is the first word on the page?,james
what is the first word on the page?,james_monroe
what is monroes fathers name?,spence
what is monroes fathers name?,spence monroe
"what does ""era of good feelings"" refers to?",reduced tension
"what does ""era of good feelings"" refers to?","monroe allowed his political base to decay, which reduced tensions and led to the naming of his era as the ""era of good feelings"""
what is monroe doctrine?,a doctrine declaring us opposition to european interference in the americas
what is monroe doctrine?,"in it, monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to stay neutral in european wars and wars between european powers and their colonies, but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states "
where was james monroe shot?,"at the battle of trenton, in his left shoulder"
where was james monroe shot?,the battle of trenton
what did james monroe do before being elected governor?,he practiced law in virginia
what did james monroe do before being elected governor?,he practiced law
when was james monroe appointed to secretary of war?,1814
when did james monroe die?,"july 4, 1831"
when did james monroe graduate from william and mary?,1776
when was james monroe elected president?,"monroe was elected president in the election of 1816, and re-elected in 1820"
which property did james monroe sell in 1817?,monroe hill on the grounds of the university of virginia
when did james monroe introduce the monroe doctrine?,"december 2, 1823"
who did james monroe live with in new york city?,his daughter maria hester monroe gouverneur
what did james monroes letters not contain?,no letters survive in which he might have discussed his religious beliefs
what was the result of the rejection of the jay treaty?,"as a result, the two nations moved closer toward the war of 1812 "
who is depicted holding the flag in the famous painting of washington crossing the delaware?,monroe
"what dwindled and eventually died out, starting with the hartford convention?",the federalist party
is it true that he practiced law in fredericksburg?,yes
what did james monroe make in 1817?,two long tours
was monroe anticlerical?,no
was monroe appointed minister to france from 1794 to 1796?,yes
what expired on march?,monroes presidency
who dismantled partisan and sectional coalitions ?,many congressmen
what happened in 1811?,monroe returned to the virginia house of delegates and was elected to another term as governor of virginia
what happened in the election of 1816?,monroe was elected president
who died in childbirth in 1772?,margaret miller
who died in 1832?,margaret miller
"is watt commemorated by statuary in george square, glasgow and princes street, edinburgh?",yes
"was watt a gentleman, greatly respected by other prominent men of the industrial revolution?",yes
was watt a fellow of the royal society of edinburgh and the royal society of london?,yes
"four years after opening his shop , watt began what?","watt began to experiment with steam after his friend, professor john robison, called his attention to it"
was watt ranked 22nd in michael h hart s list of the most influential figures in history ?,yes
what did jefferson call john adams?,"the ""colossus of independence"""
what did jefferson call john adams?,colossus of independence
what was adams political party?,the federalist party
what was adams political party?,federalist
who were the midnight judges?,"they were a series of judges, so called because most of them were formally appointed days before adams presidential term expired"
who were the midnight judges?,they were judges formally appointed days before adams term expired
in what ways was adams opposed by anderw hamilton?,hamilton wanted to control the army differently than adams
what information did he record in his diary?,descriptions of events and ompressions of men
what information did he record in his diary?,he wrote descriptions of events and impressions of men
who was defeated for re-election in the`` revolution of 1800 by thomas jefferson?,john adams
who represented the continental congress in europe?,john adams
what is now part of adams national historical park?,john adams birthplace
is it true that adams had spent some time as the ambassador?,yes
is it true that massachusetts sent him in 1774?,yes
who did massachusetts send in 1774?,john adams
"are his last words often quoted as "" thomas jefferson survives ""  ?",yes
"the john adams library , housed at the boston public library , contains what?","adamss personal collection of more than 3,500 volumes"
adams  opponents were what?,democratic republicans
"did the election of 1800 not become a bitter and volatile battle , with each side expressing extraordinary fear of the other party and its policies ?",no
what happened in 1764?,adams married abigail smith
where do joeys complete postnatal development?,marsupium
where do joeys complete postnatal development?,a pouch called a marsupium
"what do kangaroos use for ""crawl-walking?""",its hind feet
"what do kangaroos use for ""crawl-walking?""",their hind feet and their tails
why do kangaroos have a wide bite?,the two sides of the lower jaw are not joined together and the lower incisors are farther apart
why do kangaroos have a wide bite?,because of grazing
what is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria
what is responsible for converting the hydrogen byproduct of fermentation into acetate?,the digestive system of a kangaroo
what is the average life expectancy of a kangaroo?,46 years
what is the average life expectancy of a kangaroo?,about 46 years
what are some extinct predators of the kangaroo?,"thylacine, marsupial lion, maagalania, and wonambi"
what are some extinct predators of the kangaroo?,the thylacine
is a kangaroo a marsupial?,yes
is the kangaroo an herbivour?,yes
are kangaroos shy?,yes
what method of locomotion do kangaroos use?,hopping
what is the average life expectancy of a kangaroo?,4 to 6 years
what is a collective noun for a kangaroo?,"a mob, troop, or court"
what is a roo?,a kangaroo
what is used to protect a vehicale from a kangaroo?,roo bars
what method is used by kangaroos to travel?,hopping
who asked a nearby local what the creatures were called?,captain james cook and naturalist sir joseph banks
what are four species that are commonly referred to as kangaroos?,"the red kangaroo, the eastern grey kangaroo, the western grey kangaroo, and the antilopine kangaroo"
are kangaroos and wallabies adept swimmers?,yes
are kangaroos farmed to any extent?,no
who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,veterinarians
different species of kangaroos eat what?,different diets
have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes
is a collision with a vehicle capable of killing a kangaroo ?,yes
was the game of marn grook played using a ball made from kangaroo by the kurnai people ?,yes
"have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes
"is a kangaroo a marsupial from the family macropodidae -lrb- macropods , meaning (`` ` large foot (  -rrb-?",yes
what kinds of changes have larger kangaroos adapted much better to?,changes wrought to the australian landscape by humans
have larger kangaroos adapted much better to changes?,yes
where do leopards often hide their kills?,in dense vegetation
where do leopards often hide their kills?,in dense vegetation or in trees
how did early naturalists distinguish between leopards and panthers?,by the length of their tails
how did early naturalists distinguish between leopards and panthers?,"by the length of the tail, panthers having longer tails than leopards"
where is the leopard distributed?,southern eurasia and africa
where is the leopard distributed?,"southern eurasia and africa, from korea to south africa and spain"
how long is a leopards tail?,60 to 110cm
how long is a leopards tail?,60-110cm
how much does a leopard weigh?,males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females 
how much does a leopard weigh?,(because of ambiguity) - 28-90kg 
what is the difference between leopards and cheetahs?,the leopard has rosettes rather than cheetahs simple spots and the leopard is larger and less lanky than the cheetah
what is the difference between leopards and cheetahs?,"the leopard has rosettes rather than cheetahs simple spots, but they lack internal spots, unlike the jaguar the leopard is larger and less lanky than the cheetah but smaller than the jaguar"
how does the distribution size of the leopard compare to the distribution of other wild cats?,"as of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan africa"
how does the distribution size of the leopard compare to the distribution of other wild cats?,the leopard had the largest distribution of any wild cat
what resembles that of the similarly-sized cougar in the americas?,the leopards ecological role
"what was one of the many species described in linnaeuss 18th-century work, systema naturae?",felis pardus
what sort of cats are solitary?,leopards
are leopards circular?,no
is the leopard solitary?,yes
what centred in sierra?,the leopard men
felis pardus was what?,"one of the many species described in linnaeuss 18th-century work, systema naturae"
has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards ?,yes
were the leopard men a west african secret society who practised cannibalism ?,yes
was the leopard tank a german designed tank which entered service in 1965 ?,yes
is the black color heritable and caused by only one recessive gene locus ?,yes
"is the leopard -lrb- panthera pardus -rrb- an old world mammal of the felidae family and the smallest of the four (`` ` big cats (  of the genus panthera , along with the tiger , lion , and jaguar?",yes
can a panther be any of several species of large felid?,yes
is the leopard an agile and graceful predator?,yes
has leichtenstein worked to promote the countys image by prosecuting international money-laundering?,yes
what percentage of liechtensteins population is foreign-born?,two-thirds
what percentage of liechtensteins population is foreign-born?,67%
what is the smallest german-speaking country in the world?,liechtenstein
"the savings and loans bank was founded, as was the first cotton-weaving mill in what year?",1861
what enjoys one of the worlds highest standards of living?,liechtensteins population
does the state court rule on the conformity of laws?,yes
what do most recognizable international company and largest employer have in common?,they are hilti
was liechtenstein completed in november 2000?,no
what completed in november?,the kunstmuseum liechtenstein
the state court rules what?,on the conformity of laws with the constitution
the historical society of the principality of liechtenstein plays what?,a role in preserving the culture and history of the country
is the museum collection also the national art collection of liechtenstein ?,yes
is there a small heliport at balzers in liechtenstein available for charter helicopter flights ?,yes
are nationals referred to by the plural : liechtensteiners ?,yes
"is it a winter sports resort , although it is perhaps best known as a tax haven ?",yes
is it a winter sports resort?,yes
is it the smallest german-speaking country in the world?,yes
"what happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",the liechtenstein dynasty acquired vast swaths of land
who got seward elected to the senate?,weed
who got seward elected to the senate?,weed ultimately got seward elected to the senate
where was commodore matthew c perry sent to open japan to western trade?,japan
where was commodore matthew c perry sent to open japan to western trade?,commodore matthew c perry send to japan
what is the remarkable millard fillmore?,a fake biography based on real events that happened in fillmores life
what is the remarkable millard fillmore?,"in 2007, george pendle wrote the remarkable millard fillmore, a fake biography based on real events that happened in fillmores life"
did fillmore form a law partnership before or after he founded the private university of buffalo?,before
did fillmore form a law partnership before or after he founded the private university of buffalo?,law partnership founded before university of buffalo
did fillmore run for president a second time?,yes
did fillmore run for president a second time?,i dont know (semantic ambiguity)
how long after the death of his first wife did fillmore marry caroline mcintosh?,where is the death date of his first wife?
who did millard fillmore fall in love with?,he fell in love with abigail powers
who did millard fillmore fall in love with?,abigail powers
what did taylor and fillmore disagree upon?,slavory issues
what did taylor and fillmore disagree upon?,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexican-american war
how did fillmore ascend to the presidency?,"upon the death of the sitting president, taylor"
